,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.11809163818525367,3.523070700364982e-155,2.354084759773887e-206,6.085166479973199e-232,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.28216057496353797,0.21856064155801844,9.653881800562135e-104,6.416038883891965e-155,0.16666666666666666,0.0,0.16666666666666666
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10000000000000002,4.717068855239749e-155,3.6719460152935046e-206,1.0244914152188952e-231,0.14285714285714285,0.0,0.14285714285714285
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.15384615384615385,5.850803834986753e-155,4.2389520314350854e-206,1.1409851298103347e-231,0.3333333333333333,0.0,0.16666666666666666
20,0.2021768865708778,5.223533056060786e-155,3.32691696578683e-206,8.396161215621529e-232,0.14285714285714285,0.0,0.14285714285714285
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.09306272250443651,3.6727975425049663e-155,2.694040174177712e-206,7.296382734947757e-232,0.125,0.0,0.125
26,0.06666666666666667,3.851470592303926e-155,3.2077403065267053e-206,9.257324954728539e-232,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
