,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10000000000000002,4.717068855239749e-155,3.6719460152935046e-206,1.0244914152188952e-231,0.14285714285714285,0.0,0.14285714285714285
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.16666666666666669,6.08970970641905e-155,4.353573398748715e-206,1.1640469867513693e-231,0.16666666666666666,0.0,0.16666666666666666
12,0.3333333333333333,8.612150057732663e-155,5.485158767345877e-206,1.384292958842266e-231,0.5,0.0,0.3333333333333333
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.11111111111111109,4.972227154133551e-155,3.8031966729424963e-206,1.0518351895246305e-231,0.25,0.0,0.25
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.07408182206817181,3.4944905561718584e-155,2.720244513489058e-206,7.58961907326157e-232,0.09090909090909091,0.0,0.1
18,0.10000000000000002,4.717068855239749e-155,3.6719460152935046e-206,1.0244914152188952e-231,0.125,0.0,0.125
19,0.07692307692307693,4.1371430671115046e-155,3.364458456971393e-206,9.594503055152632e-232,0.25,0.0,0.25
20,0.16666666666666669,6.08970970641905e-155,4.353573398748715e-206,1.1640469867513693e-231,0.25,0.0,0.25
21,0.3333333333333333,8.612150057732663e-155,5.485158767345877e-206,1.384292958842266e-231,0.25,0.0,0.25
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.10108844328543891,3.693595645692774e-155,2.64057574565043e-206,7.060301868108111e-232,0.1111111111111111,0.0,0.125
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
