,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L
70,0.12383969996431167,4.887436488566011e-155,3.5849921201914647e-206,9.709385502639237e-232,0.125,0.0,0.125
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.06295853427918728,1.6266250338817998e-155,1.0360126688421901e-206,2.614591671051252e-232,0.125,0.0,0.14285714285714285
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.11111111111111109,4.972227154133551e-155,3.8031966729424963e-206,1.0518351895246305e-231,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.18393972058572117,0.1501861529550426,5.694250628980518e-104,3.506226123743032e-155,0.25,0.14285714285714285,0.2857142857142857
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.15163266492815836,4.523712324056519e-155,3.0227046645869273e-206,7.813508425061864e-232,0.16666666666666666,0.0,0.16666666666666666
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.08333333333333333,4.306075028866568e-155,3.455433496497238e-206,9.788429383461836e-232,0.125,0.0,0.125
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.141080287481769,5.1548279763727125e-155,3.6852203200107056e-206,9.853445011990208e-232,0.14285714285714285,0.0,0.14285714285714285
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.16666666666666669,6.08970970641905e-155,4.353573398748715e-206,1.1640469867513693e-231,0.16666666666666666,0.0,0.16666666666666666
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.12500000000000003,5.273843307431707e-155,3.9554839376362416e-206,1.0832677820940877e-231,0.16666666666666666,0.0,0.16666666666666666
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.14285714285714285,5.637975647982813e-155,4.1355214168276684e-206,1.1200407237786664e-231,0.16666666666666666,0.0,0.16666666666666666
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.2222222222222222,7.031791076575252e-155,4.7917275451304015e-206,1.2508498911928379e-231,0.3333333333333333,0.0,0.3333333333333333
99,0.2,6.6709427497276e-155,4.626362078745891e-206,1.2183324802375697e-231,0.25,0.0,0.14285714285714285
100,0.11111111111111109,4.972227154133551e-155,3.8031966729424963e-206,1.0518351895246305e-231,0.16666666666666666,0.0,0.16666666666666666
101,0.2222222222222222,7.031791076575252e-155,4.7917275451304015e-206,1.2508498911928379e-231,0.4,0.0,0.4
102,0.06375038008193697,2.8528323383676753e-155,2.1820971008379805e-206,6.034940380417626e-232,0.08333333333333333,0.0,0.08333333333333333
